member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
26,Limairi Sanchez,26,Unaffiliated,Male,671kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
27,Sophia Rizzuto,27,MURDER OF CROWS Open,Male,646kg,118,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Rachel Winchell,34,Kingman Barbell Club Open,Male,663kg,112,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
26,Ashley Avellan,26,TEAM FLORIDA GULFCOAST WL Open,Male,223kg,111,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
118,Tate Fegley,15,"LSU - Shreveport Open,",Male,79+kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Marcos Pujol,16,"Iron Brotherhood Open,",Male,88kg,178,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
43,Wesley Cross,43,"Iron Grit Barbell M40, Open, TXOK M40, TXOK",Male,481kg,175,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
41,Simon Miguel,41,"Bexar Barbell M40, MIL, MILMM, Open, TXOK M40, TXOK",Male,619kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Neil Skorka,45,"Bexar Barbell M45, MIL, MILMM, Open, TXOK M45, TXOK",Male,45kg,175,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Eric Evans,54,Unaffiliated,Male,50kg,174,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Jaime Cordova,12,"Lupo Barbell Club M55, MIL, MILMM, Open",Male,55kg,146,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Finley Degraffenried,62,"VAUGHN WEIGHTLIFTING TXOK M60, TXOK",Male,60kg,130,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Samuel Iii,67,"Stomp Weightlifting M65, MIL, MILMM, Open, TXOK M65, TXOK",Male,65kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Kerry Dahl,67,Unaffiliated,Male,65kg,85,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Cristian Hernandez,29,Strong Weightlifting TXOK,Male,321kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Mark Pulido,49,TXOK,Male,49kg,170,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
